Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"We are so excited as well Anna Islamova!
🚀 REGISTRATION IS NOW OPEN! 🚀

Our Mentorship and Networking Committee, Knowledge Circles For Impact (KC4I) has announced applications are now being accepted for 𝗧𝗵𝗲 𝗔𝗜 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝗮𝗻𝗱 𝗦𝗵𝗮𝗽𝗶𝗻𝗴 𝘁𝗵𝗲 𝗙𝘂𝘁𝘂𝗿𝗲 learning experience! 

Register by April 23rd to secure your spot. Sign up today (link in the comments section)! 

🌟 Program Schedule 🌟
Session 1: Circle Kick-Off: Setting the Stage for Success 
Session 2: AI Industry Trends Shaping Career Growth i
Session 3: Elevate Your Technical Presence
Session 4: Empowering Leadership: Strategy, Analysis & Communication 
Session 5: Future Forward: Celebrating Success & Planning Next Steps 

Interested in joining? Don't miss this opportunity to shape your future in AI leadership! Apply now and take the first step towards a transformative mentorship experience. 

#AILeadership #Mentorship #Networking #CareerGrowth #FutureOfAI #ProfessionalDevelopment #KC4I",https://www.linkedin.com/feed/update/urn:li:activity:7310768611978031107,Organic,,Talia Standring,03/26/2025,,,All followers,373,,,31,0.08310992271,8,2,4,,0.1206434295,
"Exciting News for Our Community!

1️⃣ Go follow our sister page: Knowledge Circles For Impact (KC4I)!
 This is where our #Mentoring & #Networking Committee is focusing their efforts to create meaningful connections and opportunities.

2️⃣ Check out KC4I's AI Leadership and Shaping the Future Program!
 Now accepting applicants - don't miss out on this incredible chance to grow in your career.

This virtual workshop offers valuable insights into #AI, #Leadership, and #IndustryTrends. 🌟

#mentorship #networking #professionaldevelopment #learning #futureleaders #AI",https://www.linkedin.com/feed/update/urn:li:activity:7308584569341952000,Organic,,Talia Standring,03/20/2025,,,All followers,297,,,27,0.09090909362,6,1,1,,0.117845118,
"✨𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭🔦 

Meet ️Iseabail Lane - Board Member and Co-chair of the Professional Development Committee here! 

#womenleaders #womenintechnologyhollywood #professionaldevelopment #leadership #leaders #mentorship #encourage #inspire #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7304901650287144961,Organic,,Talia Standring,03/10/2025,,,All followers,260,,,5,0.01923076995,8,0,2,,0.05769230798,
"🌟 Happy 𝗜𝗻𝘁𝗲𝗿𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗪𝗼𝗺𝗲𝗻’𝘀 𝗗𝗮𝘆! 🌟

Today, 𝗠𝗮𝗿𝗰𝗵 8th, not only do we celebrate International Women’s Day, but we also are reminded its 𝗪𝗼𝗺𝗲𝗻’𝘀 𝗛𝗶𝘀𝘁𝗼𝗿𝘆 𝗠𝗼𝗻𝘁𝗵 - a time to reflect on the incredible achievements of women past, present, and future, and to #celebrate women’s contributions to history, culture, and society. 

We are proud to stand with women who continue to 𝗯𝗿𝗲𝗮𝗸 𝗯𝗮𝗿𝗿𝗶𝗲𝗿𝘀, 𝗰𝗵𝗮𝗹𝗹𝗲𝗻𝗴𝗲 𝗻𝗼𝗿𝗺𝘀, 𝗮𝗻𝗱 𝘀𝗵𝗮𝗽𝗲 𝘁𝗵𝗲 𝗳𝘂𝘁𝘂𝗿𝗲 𝗼𝗳 𝘁𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆. As we reflect on how far we’ve come, we are also focused on the important work ahead: 𝗲𝗺𝗽𝗼𝘄𝗲𝗿𝗶𝗻𝗴 𝘁𝗵𝗲 𝗻𝗲𝘅𝘁 𝗴𝗲𝗻𝗲𝗿𝗮𝘁𝗶𝗼𝗻 𝗼𝗳 𝘄𝗼𝗺𝗲𝗻 𝗹𝗲𝗮𝗱𝗲𝗿𝘀 𝗶𝗻 𝘁𝗲𝗰𝗵

💼Our 𝗣𝗿𝗼𝗳𝗲𝘀𝘀𝗶𝗼𝗻𝗮𝗹 𝗗𝗲𝘃𝗲𝗹𝗼𝗽𝗺𝗲𝗻𝘁 Committee is committed to providing resources and learning opportunities that help women grow their careers, hone their skills, and reach their full potential. 

🌝Through 𝗢𝘂𝘁𝗿𝗲𝗮𝗰𝗵 𝗮𝗻𝗱 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝗰𝗮𝘁𝗶𝗼𝗻, we aim to share stories, highlight achievements, and amplify the voices of women in tech. By showcasing the success of our members, we create inspiration for young women who may not yet see themselves in this space.  

🌱Our 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆 𝗘𝗻𝗴𝗮𝗴𝗲𝗺𝗲𝗻𝘁 Committee works tirelessly to foster connections and build a supportive network where women can collaborate, support one another, and elevate each other’s success. 

💻And importantly, our 𝗠𝗲𝗻𝘁𝗼𝗿𝗶𝗻𝗴 Program plays a pivotal role in shaping the leaders of tomorrow. Through mentoring, we’re giving back by passing on knowledge, offering guidance, and creating opportunities for women to thrive in the tech industry.  

Today, let’s not only celebrate the amazing women who have shaped history but also commit to building a future where every woman has the opportunity to lead, innovate, and inspire. 💜 

#IWD2025 #WomensHistoryMonth #WomenInTech #ProfessionalDevelopment #Mentoring #Community #WomenInTechnologyHollywood #Empowerment #Inspiration #GivingBack",https://www.linkedin.com/feed/update/urn:li:activity:7304192330524237824,Organic,,Talia Standring,03/08/2025,,,All followers,373,,,11,0.02949061617,22,2,3,,0.1018766761,
"Join Innovate@UCLA for an inspiring Women in Technology (WIT) Workshop! 

𝐎𝐯𝐞𝐫𝐜𝐨𝐦𝐢𝐧𝐠 𝐈𝐦𝐩𝐨𝐬𝐭𝐞𝐫 𝐒𝐲𝐧𝐝𝐫𝐨𝐦𝐞 𝐚𝐧𝐝 𝐅𝐢𝐧𝐝𝐢𝐧𝐠 𝐘𝐨𝐮𝐫 𝐕𝐨𝐢𝐜𝐞
🗓𝐖𝐡𝐞𝐧: Tuesday, March 11, 2025 from 12:00 PM - 1:00 PM PST
📍𝐖𝐡𝐞𝐫𝐞: Virtual
‼️ 𝐖𝐡𝐨: Led by industry leaders Cindy McKenzie (Retired CIO, VP & Co-Founder of STEM Advantage) and Melanie Hildebrandt (VP & CIO at Endeavor), 
💻 𝐖𝐡𝐚𝐭: An interactive session providing practical strategies to tackle imposter syndrome and confidently express yourself in meetings.

💡 Open to everyone – members & non-members welcome!
🔗 𝘙𝘚𝘝𝘗: 𝘭𝘪𝘯𝘬 𝘪𝘯 𝘵𝘩𝘦 𝘤𝘰𝘮𝘮𝘦𝘯𝘵𝘴 𝘴𝘦𝘤𝘵𝘪𝘰𝘯 

Let’s empower each other and grow together! ✨
#Innovation #Education #Community #WomenInTech #Leadership #ProfessionalGrowth",https://www.linkedin.com/feed/update/urn:li:activity:7302866690512502784,Organic,,Talia Standring,03/05/2025,,,All followers,387,,,26,0.06718346477,14,2,2,,0.1136950925,
"We are back with our 𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭! 

✨ Please meet ️Karine E. and don't forget to
 #️Follow us to learn more about the members of our incredible team! ✨ 

#womenleaders #womenintechnologyhollywood #professionaldevelopment #leadership #leaders #mentorship #encourage #inspire #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7294871798498635776,Organic,,Talia Standring,02/11/2025,,,All followers,543,,,19,0.03499079123,24,3,2,,0.08839779347,
"📢We’re on a mission to inspire, empower, and uplift underrepresented individuals in technology through professional development, mentorship, and community engagement. 

Now bringing even more of that energy to #Instagram! 
🎉 Follow us at @𝗪𝗶𝗧𝗛𝗼𝗹𝗹𝘆𝘄𝗼𝗼𝗱𝗜𝗚 for:

💜 Inspiring stories from women in tech
💻 Networking & mentorship opportunities
💜 Event highlights & behind-the-scenes moments
🎬Career growth resources & industry insights

Join our growing community and help us spread the message of Diversity, Equity, Inclusion, Accessibility, and Belonging in tech! 

#WomenInTech #WiTHFoundation #DiversityInTech #InclusionMatters #MediaTech #WiTHollywood #ProfessionalDevelopment #MentoringOpportunnties #Networking #NetworkingEvents ",https://www.linkedin.com/feed/update/urn:li:activity:7293047238698643456,Organic,,Talia Standring,02/05/2025,,,All followers,447,,,12,0.02684563771,16,2,4,,0.07606264204,
"🎉 Yesterday, some of our incredible volunteers and board members had the honor of supporting and congratulating the amazing graduates of the Codetalk St. Joseph Center program! 

💻 CodeTalk is transforming lives by providing low-income, underserved women with the digital skills and tools needed to launch successful careers in tech.

🌟We're thrilled to witness the hard work, dedication, and growth of these women who are now stepping into a brighter future. It's inspiring to see how the CodeTalk program doesn’t just teach skills—it changes lives by fostering a growth mindset, innovative teaching, and a powerful belief that we are not limited by our circumstances!

💜 Proud to partner with CodeTalk (thank you - Sharon Plunkett & Dr. Ryan J. Smith, EdD) and continue supporting their mission to empower underserved communities. Here's to a future full of opportunity for these talented women and youth! 

Nadya Ichinomiya, April (Cadiente) Schneider, Talia Standring, Roshan Bryan

#WomenInTech #CodeTalk #StJosephCenter #EmpoweringWomen #DigitalSkills #WomenSupportingWomen #NonProfits #CommunityEngagement #WomenInSTEM #GivingBack #CommunitySupport",https://www.linkedin.com/feed/update/urn:li:activity:7291219930379653120,Organic,,Talia Standring,01/31/2025,,,All followers,1383,,,232,0.1677512676,58,7,3,,0.2169197351,
"Dear community, the devastating fires in Los Angeles have shaken us all. 

Each day, we learn of families and businesses facing unimaginable challenges—evacuating on short notice, leaving behind homes, memories, and livelihoods.

We want you to know you’re not alone. We stand beside those impacted, offering support in any way we can. 

To those who are safe, we encourage you to join us in extending care and compassion to those in need.

In these trying times, we are reminded of the power of community and the strength we draw from one another. 

Together, we will rebuild, recover, and heal.💜",https://www.linkedin.com/feed/update/urn:li:activity:7285139877598244864,Organic,,Talia Standring,01/15/2025,,,All followers,923,,,11,0.01191766001,31,0,5,,0.05092091113,
"✨ Happy Holidays and a Bright New Year! 🎉

As 2024 comes to a close, we want to extend our warmest wishes to our incredible network. Your passion, innovation, and commitment have been the heart of our community this year.

We're so excited for 2025 and all the opportunities it holds to grow, connect, and inspire one another. Together, we’ll continue to break barriers, foster inclusion, and shape the future of technology.

Here’s to a new year filled with collaboration, success, and even greater impact! 

#WomenInTech #WiTHCommunity #HappyNewYear2025 #Networking #Mentoring #ProfessionalDevelopment #CommunityEngagement #DEI ",https://www.linkedin.com/feed/update/urn:li:activity:7280728135728316416,Organic,,Talia Standring,01/02/2025,,,All followers,633,,,50,0.07898893952,49,0,0,,0.1563981026,
